epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
78,1327.54,0.65852,0.25226,0.91931,0.01817,0.11783,0.90346,0.89173,0.95961,0.86824,0.90346,0.89173,0.95961,0.9455,0.54977,0.29409,0.4252,0.0188,0,0.000583794,0.000583794,0.000583794
79,1344.07,0.63516,0.22091,0.87533,0.01705,0.27081,1,0.88803,0.98717,0.88683,1,0.88803,0.98717,0.96257,0.53266,0.42844,0.35148,0.01745,0,0.000560549,0.000560549,0.000560549
80,1361.07,0.60389,0.2656,0.84664,0.01621,0.12031,0.86675,0.95238,0.97037,0.86595,0.86675,0.95238,0.97037,0.93637,0.51082,0.43855,0.38518,0.01721,0,0.000537613,0.000537613,0.000537613
81,1377.72,0.62914,0.19387,0.80329,0.0177,0.12405,0.94335,0.90476,0.95377,0.84471,0.94335,0.90476,0.95377,0.91919,0.58787,0.51617,0.4237,0.01915,0,0.000515,0.000515,0.000515
82,1394.06,0.60606,0.24267,0.74705,0.01473,0.18425,1,0.90244,0.95579,0.8402,1,0.90244,0.95579,0.90976,0.64631,0.52082,0.47707,0.02027,0,0.000492726,0.000492726,0.000492726
83,1410.52,0.59096,0.26893,0.78135,0.01535,0.13531,0.9112,0.90476,0.97129,0.86183,0.9112,0.90476,0.97129,0.93031,0.6209,0.46246,0.43771,0.01975,0,0.000470807,0.000470807,0.000470807
84,1427.08,0.61695,0.24398,0.80638,0.01621,0.14574,0.94256,0.90476,0.97459,0.8328,0.94256,0.90476,0.97459,0.94884,0.63016,0.46485,0.45524,0.02133,0,0.000449258,0.000449258,0.000449258
85,1443.42,0.66228,0.23376,0.80997,0.01793,0.29361,0.90657,0.95238,0.96452,0.8247,0.90657,0.95238,0.96452,0.94334,0.68021,0.41834,0.48796,0.02234,0,0.000428093,0.000428093,0.000428093
86,1460.62,0.58401,0.24774,0.77734,0.01447,0.13307,0.87731,0.90476,0.94905,0.83586,0.87731,0.90476,0.94905,0.92968,0.60063,0.40259,0.48411,0.01959,0,0.000407326,0.000407326,0.000407326
87,1477.36,0.58993,0.1649,0.70996,0.01717,0.10535,0.83099,0.93698,0.95879,0.88594,0.83099,0.93698,0.95879,0.93419,0.48824,0.31538,0.42454,0.01579,0,0.000386973,0.000386973,0.000386973
88,1493.76,0.58264,0.30255,0.86466,0.0145,0.1267,1,0.79223,0.95541,0.86792,1,0.79223,0.95541,0.92968,0.534,0.30373,0.42539,0.0169,0,0.000367046,0.000367046,0.000367046
89,1510.36,0.57623,0.15581,0.69384,0.01468,0.09203,0.90583,0.9165,0.96179,0.866,0.90583,0.9165,0.96179,0.94442,0.58874,0.26023,0.45482,0.02023,0,0.000347561,0.000347561,0.000347561
90,1526.32,0.6629,0.21527,0.85418,0.0178,0.44692,1,0.93151,0.9821,0.88501,1,0.93151,0.9821,0.96225,0.53163,0.26498,0.38548,0.01843,0,0.000328529,0.000328529,0.000328529
